FILEPATH,FILENAME,CFC_CAPTURE_ID,TEC_READING(CELCIUS),FILTER_POSITION
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356096395.tiff,cfc_capture_1719356096395_tiff,1719356096395,8,0
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356099651.tiff,cfc_capture_1719356099651_tiff,1719356099651,8,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356102916.tiff,cfc_capture_1719356102916_tiff,1719356102916,8,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356106176.tiff,cfc_capture_1719356106176_tiff,1719356106176,8,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356109520.tiff,cfc_capture_1719356109520_tiff,1719356109520,8,4
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356112784.tiff,cfc_capture_1719356112784_tiff,1719356112784,8,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356116092.tiff,cfc_capture_1719356116092_tiff,1719356116092,8,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356119363.tiff,cfc_capture_1719356119363_tiff,1719356119363,8,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356122693.tiff,cfc_capture_1719356122693_tiff,1719356122693,8,0
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356125991.tiff,cfc_capture_1719356125991_tiff,1719356125991,8,1
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356129236.tiff,cfc_capture_1719356129236_tiff,1719356129236,8,2
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356132509.tiff,cfc_capture_1719356132509_tiff,1719356132509,8,3
/data/archive/ESI/AirHARP2/PACE-PAX_Campaign/PACE-PAX_FlightData_20240927/SWIR/cfc_capture_1719356135876.tiff,cfc_capture_1719356135876_tiff,1719356135876,8,4
